funding_rounds,founder_experience_years,team_size,market_size_billion,product_traction_users,burn_rate_million,revenue_million,investor_type,sector,founder_background,outcome
3,13,214,15.608187479692983,200957,31.032578481015697,557306.6701992425,tier2_vc,Crypto,academic,Acquisition
1,3,190,2.2284565710008546,115027,28.715782875368586,230449.55087377064,tier2_vc,Health,ex_bigtech,Failure
4,18,62,16.32093881660722,339094,7.672093823276153,978259.5838302049,none,Health,serial_founder,Acquisition
4,23,123,30.58664802372689,608748,5.055398384319185,2012611.2549234016,angel,Climate,first_time,IPO
2,24,190,5.731130476807038,172283,36.87908364551048,296591.53608603997,tier2_vc,Ecommerce,serial_founder,Acquisition
0,3,131,74.21672545653203,222696,20.792701595442114,626143.6433799118,tier1_vc,Ecommerce,first_time,Failure
0,13,249,22.06066476059662,162875,27.83376323123585,697229.3044058776,tier1_vc,Climate,ex_bigtech,Acquisition
2,20,212,13.445561061393981,58270,21.206321689396667,111376.75202880718,tier2_vc,Ecommerce,ex_bigtech,Acquisition
2,1,121,52.413040286926865,436331,13.036290064550201,1433061.5261991632,tier2_vc,SaaS,academic,Acquisition
2,1,297,10.195932929830578,215153,6.855398165644268,886912.7176717004,tier1_vc,Crypto,ex_bigtech,Failure
1,0,164,20.773289443324714,200086,6.510126257060326,374953.68964933825,none,Crypto,ex_bigtech,Failure
5,18,25,3.5978046012886735,240050,1.7890327143929767,630379.1741224077,angel,Ecommerce,serial_founder,Acquisition
4,22,101,13.5714388230647,426625,8.74540724021791,1319037.4938059708,none,Climate,academic,Acquisition
0,7,49,19.998547082257932,38864,19.007550113628533,102438.8894158534,angel,Crypto,ex_bigtech,Failure
1,3,249,44.728808155295276,44892,2.903321220027983,146319.02566759632,none,SaaS,first_time,Failure
2,24,148,47.98916708175416,165499,24.75605276288306,777412.2256024978,tier1_vc,Health,academic,Failure
2,11,13,18.035046846775916,483371,40.91529348088956,2349164.98002268,tier2_vc,Ecommerce,serial_founder,Acquisition
0,13,42,23.90805407996696,249005,6.380478968569354,321933.99114292883,tier1_vc,Ecommerce,academic,Failure
2,20,220,37.23496825355217,180816,12.361530589853093,868391.9819064597,angel,SaaS,first_time,Failure
2,9,239,22.59766215848985,124821,5.313183486084712,519450.0106724118,angel,SaaS,serial_founder,Failure
3,23,150,7.293797544771592,524572,28.035628343552013,1469450.9752445435,angel,Climate,ex_bigtech,IPO
1,16,207,10.7419584242535,117590,20.767225563495447,302034.4057098031,tier2_vc,Health,first_time,Failure
0,4,30,17.240025617762843,266759,62.204933949119095,1216309.2911229418,tier1_vc,AI,academic,Acquisition
2,20,63,8.506557572635481,10170,29.66434276694888,25073.857173128104,tier1_vc,Health,serial_founder,Failure
2,9,19,42.52077801873092,210678,24.57003253959812,638158.1853546224,angel,Crypto,serial_founder,Failure
1,3,55,77.4714146680252,193834,14.178352349847074,317267.9142543367,none,SaaS,academic,Failure
3,3,291,55.69753519727675,461468,28.05311641139839,2190656.4924590965,none,Crypto,serial_founder,Acquisition
2,10,13,4.793961073071838,232345,28.822303748195864,347977.0001319599,tier2_vc,SaaS,ex_bigtech,Failure
3,9,122,122.34609154240115,492349,38.98482506560687,1856432.1692311112,tier1_vc,Climate,first_time,Acquisition
2,24,257,60.321874638373096,452910,12.628806585706862,2093330.0404365319,tier2_vc,Climate,first_time,Acquisition
0,8,45,35.313832367486405,278989,19.024093521053995,525406.1840034296,none,Crypto,first_time,Failure
2,22,149,23.21110889852836,275222,4.929168117621683,896913.3050667256,angel,Ecommerce,first_time,Failure
1,10,127,13.865110939011169,218341,13.967436555374446,626967.4652474513,none,Crypto,serial_founder,Failure
1,6,25,68.02550243738804,330550,9.143240903661026,1456722.4560093402,tier2_vc,Fintech,serial_founder,Failure
3,9,114,7.074301378218003,198626,4.7596967013384885,278825.5996003821,tier1_vc,AI,ex_bigtech,Failure
1,15,17,60.79897068997826,334533,6.193325407904149,225026.42731187973,tier2_vc,Fintech,ex_bigtech,Failure
4,0,278,88.65182332365325,305473,9.62026976059823,1508330.928862727,angel,AI,serial_founder,Acquisition
2,16,57,8.320362073483272,421703,2.6750990688628313,1705072.5109273114,tier2_vc,Climate,first_time,Acquisition
0,6,205,20.052571234171094,220601,7.107698339443061,583709.8139590858,none,Crypto,ex_bigtech,Failure
4,0,52,4.463260699845498,202541,15.84642100727039,787102.1994205405,tier2_vc,Fintech,first_time,Failure
5,10,239,44.50595201641254,319813,7.699952236433667,1169195.9438588573,none,Health,ex_bigtech,Acquisition
2,15,296,12.157814468839607,313407,42.85771174005356,1417642.0817972594,tier2_vc,Crypto,first_time,Acquisition
0,23,63,31.746164109520198,580301,8.662169690112623,2610801.9829318156,tier2_vc,Climate,serial_founder,Acquisition
0,3,284,29.45361497905374,202438,2.6365339454996377,438479.5811404968,none,Fintech,academic,Failure
1,0,270,5.856402005842809,137006,12.337630287069672,274588.1446284789,tier2_vc,Ecommerce,ex_bigtech,Failure
1,7,156,10.024486817543076,174058,15.733395075909499,211060.15344504005,none,Crypto,serial_founder,Failure
2,19,32,285.2523340805921,409008,9.39267151734114,781757.6074827288,tier2_vc,Ecommerce,academic,Acquisition
2,22,261,8.077990375771007,33145,12.96105480077653,54914.997119355896,none,Fintech,academic,Acquisition
5,14,216,17.10743854113239,124749,19.626634118026914,468665.48297146143,none,Fintech,academic,Failure
1,14,98,35.948959851924506,277679,32.325728288401244,586140.3492568273,tier2_vc,Fintech,first_time,Acquisition
2,24,142,16.502993920095076,320718,17.07167142986535,1411251.4042886074,tier2_vc,Crypto,serial_founder,Acquisition
4,0,148,44.71275759708992,384768,9.418306519361055,870073.5290302506,none,Ecommerce,first_time,Failure
1,9,220,5.7812972076958715,273053,4.925283890024656,1099441.9510638574,angel,Ecommerce,ex_bigtech,Failure
2,20,133,38.12515770923644,308445,5.476797711231737,166092.94983728015,tier1_vc,Ecommerce,academic,Acquisition
1,18,152,12.287323274422267,644015,8.839608671796332,1885768.696671428,tier2_vc,Ecommerce,ex_bigtech,Acquisition
4,7,59,1.5635518831809625,50949,8.300126889389556,190052.85666913787,angel,Climate,serial_founder,Failure
5,21,141,38.47225825579302,429513,8.662585302258734,1648265.4572099864,none,Crypto,first_time,Acquisition
2,20,6,14.57828439313015,332066,22.879171321409803,492528.0062542849,angel,AI,ex_bigtech,Failure
1,12,20,14.92432257137602,344111,19.41471763700064,496328.65838226,tier2_vc,Ecommerce,ex_bigtech,Failure
3,6,207,40.894057984739575,305972,7.403488784080302,508228.0337601958,tier2_vc,Ecommerce,academic,Failure
2,12,120,83.51686120342238,133631,42.01254218114883,561440.0420094202,angel,Ecommerce,first_time,Failure
5,24,131,20.73543163865301,671186,12.62592187817918,513575.92124373093,angel,SaaS,academic,Acquisition
5,17,40,15.939107871238601,504404,12.143313318728358,607490.5449818758,none,AI,first_time,Acquisition
5,1,37,8.380655836395484,524337,9.470318996774608,1353978.0556465287,angel,Climate,first_time,Acquisition
1,21,205,27.075987532280877,363088,17.881414794766933,605493.0779729526,tier2_vc,Health,first_time,Acquisition
0,7,170,9.630148143783583,301316,11.56373059102896,779931.0246232394,tier1_vc,Ecommerce,first_time,Failure
1,9,67,19.102906905692624,260145,2.2981257816824887,801710.7353875322,none,AI,academic,Failure
2,4,49,44.04182986400406,337053,11.801154109479482,1140343.6791450127,tier2_vc,SaaS,first_time,Failure
1,23,105,10.58783014244253,639826,21.676344700492567,1205355.7904180172,none,Climate,first_time,Acquisition
0,9,109,31.55441611518511,113893,126.28200175622123,369447.06044556224,none,Crypto,first_time,Failure
2,22,122,9.585212311708574,98133,10.2974505923446,417849.95778409677,tier2_vc,Fintech,academic,Failure
2,10,172,73.4434973362095,651945,19.642318465911963,3077988.314429572,angel,Ecommerce,first_time,IPO
1,17,241,10.751130284011355,471352,14.364218928224961,1956759.4558505907,tier2_vc,Climate,first_time,Acquisition
0,11,186,1.6918227204899774,410451,22.593769275826915,237564.15818865673,angel,AI,serial_founder,Acquisition
3,2,208,5.861761906924094,109251,11.744155553562857,218741.0318527798,angel,Climate,first_time,Failure
3,15,264,17.310838520573277,457856,19.42058401634744,1478836.7666023422,none,Fintech,academic,Failure
1,21,170,41.48365661416322,383678,6.997165572759235,1593918.7373633247,tier2_vc,Crypto,ex_bigtech,Acquisition
0,23,173,20.602571574418608,879823,10.249858413540716,2871392.971972893,none,Health,first_time,IPO
0,23,51,10.542778915528082,204167,8.814768359317915,990286.9425968623,angel,Fintech,first_time,Failure
4,9,21,1.2948449978375811,176969,30.088366685585754,640163.2253520094,none,Ecommerce,academic,Failure
1,7,214,114.60357014882369,161658,29.37078501635876,782574.4405731218,none,SaaS,first_time,Failure
3,13,268,31.785812447483288,490437,3.5476048121091783,1115535.892471863,tier1_vc,AI,academic,Failure
4,8,228,7.774987941870802,100750,4.515605052503576,179263.22996678174,tier2_vc,Health,ex_bigtech,Acquisition
1,11,53,24.611504329849915,380479,12.66291669712467,363547.9364092813,tier1_vc,Fintech,serial_founder,Failure
1,3,116,11.232773346015462,62595,31.307102800959647,234654.07406156743,angel,Ecommerce,academic,Failure
0,18,234,8.444572403625859,223751,50.98139062198558,1097070.308517912,tier2_vc,AI,first_time,Failure
0,24,7,21.49866121795646,321066,5.556739766481702,1561585.2853361233,none,Climate,first_time,Acquisition
0,9,175,11.337634975625964,131819,7.3460468052737085,374712.6018888648,angel,AI,first_time,Failure
3,3,292,6.1255810789835445,303731,8.706914071961561,713239.0725332085,tier2_vc,Health,academic,Failure
2,12,183,51.478131313643594,26725,14.939842302564236,15509.283259063506,none,Fintech,serial_founder,Failure
2,4,148,45.22210665473025,284689,13.611244877380525,344570.3605967974,none,AI,serial_founder,Acquisition
1,20,78,7.328454505322608,467724,16.285829028150683,362578.80616024265,angel,SaaS,academic,Failure
2,7,252,13.078230360636894,362061,11.329420401328662,657228.0112049211,none,Climate,first_time,Failure
2,16,65,15.004528443681629,374546,8.010307367036493,1505743.024960095,none,Climate,serial_founder,Acquisition
0,21,207,176.83602763402055,414966,19.943636515764467,1929133.7548425966,tier1_vc,Crypto,serial_founder,Failure
1,2,167,37.176857707485055,193537,5.246739101236291,423213.9823335344,tier2_vc,Ecommerce,first_time,Failure
3,3,167,15.91546824428551,48724,1.1948241731496179,48477.32307091232,tier1_vc,Climate,first_time,Failure
4,20,263,5.3331192850592615,108583,12.030708655973102,249805.53115205557,none,AI,first_time,Acquisition
3,17,108,7.228437536492857,370188,9.897561685119221,1695922.3528557965,tier2_vc,Fintech,first_time,IPO
0,5,249,3.723915213066617,200690,11.282334132726882,922653.4315724061,angel,Crypto,serial_founder,Failure
0,21,188,82.1366633040257,139093,31.164684721853682,326159.23761870083,none,SaaS,first_time,Failure
0,12,258,16.55260728479148,173687,7.3683824553573904,138690.61796410588,tier2_vc,SaaS,academic,Failure
1,21,87,49.542521358561444,258078,4.967377810415609,336131.0115304771,tier2_vc,AI,serial_founder,Acquisition
2,17,298,2.7166953130848834,405764,6.717578514140066,1895222.9018226005,none,AI,first_time,IPO
2,22,180,49.336625096964994,343223,7.791234904533128,624856.7587159281,tier1_vc,Ecommerce,serial_founder,Failure
5,12,93,11.475621845523166,257703,5.227362502242357,783477.3662416525,tier1_vc,Health,academic,Failure
1,4,17,10.247590270462915,104501,9.949099840627339,313089.95409059693,none,SaaS,ex_bigtech,Failure
3,21,131,47.957529771794015,275247,12.154258183549118,263567.9217199979,angel,Crypto,ex_bigtech,Failure
4,3,86,7.540573847069316,530694,44.935892932956705,1561541.0082685605,angel,AI,serial_founder,Acquisition
2,20,246,33.45946117975014,332833,13.31518856263428,1640152.9332720302,tier1_vc,Health,ex_bigtech,Acquisition
3,21,278,7.003803230140436,363803,9.688900415967682,1527755.5432283196,tier1_vc,Health,ex_bigtech,Acquisition
2,5,11,10.368385891544845,74114,11.722325738260498,220463.04398492508,none,SaaS,first_time,Failure
1,14,264,16.284627098570528,365039,10.306702112499728,723100.8778346294,tier2_vc,Crypto,ex_bigtech,Failure
4,24,130,53.721273026694824,201573,5.437187262958024,249368.72780453193,tier2_vc,Ecommerce,academic,Acquisition
1,1,280,8.779110155537696,362135,24.91942409106539,1157718.607477432,none,Fintech,first_time,Failure
3,13,223,19.69015655835515,225894,7.827446509953796,797189.7937553267,none,Health,first_time,Acquisition
1,12,280,53.87492833243075,168364,55.12857979751427,778612.4930177979,angel,Health,ex_bigtech,Failure
1,21,44,17.067684559825416,118797,36.0554698147388,235198.63858403685,none,Crypto,serial_founder,Failure
3,0,214,8.966949037005106,190053,14.343905142934053,652610.1936991075,tier1_vc,Health,first_time,Failure
0,7,130,44.54547675265121,276070,27.720681225757534,818200.0821392848,tier2_vc,Crypto,first_time,Failure
1,23,144,274.2570911649865,298037,6.0986029145527585,1402128.6451077806,angel,Ecommerce,ex_bigtech,Acquisition
1,0,142,35.42709601104442,107903,11.65335799035432,348081.58403759653,tier1_vc,Health,first_time,Failure
0,2,78,66.3195171520462,6606,8.568455962722272,27190.200588770706,tier2_vc,AI,academic,Failure
1,20,204,43.54888672652639,192514,21.22415396513785,353473.80604714376,tier1_vc,Crypto,academic,Failure
2,0,254,18.196648731990866,222038,13.351287274207337,847155.2212956209,tier2_vc,Climate,academic,Acquisition
0,11,65,407.72393320928666,171712,27.00316038696643,556536.6854709261,tier2_vc,SaaS,first_time,Failure
3,12,114,4.488728883965201,422948,20.781834589439224,1782790.638760447,angel,SaaS,first_time,Acquisition
4,3,34,22.853108791717034,350560,10.585360696574131,1607408.8366901744,tier2_vc,Climate,ex_bigtech,Acquisition
4,6,55,4.278702976384506,376966,4.657667026136869,655958.1240280597,tier2_vc,SaaS,ex_bigtech,Acquisition
1,1,134,182.80811963201361,564268,37.403854583472715,334986.24906960886,tier2_vc,Health,ex_bigtech,Failure
1,3,73,5.548331442207441,253059,8.758194662585812,916112.4871381045,tier1_vc,SaaS,academic,Failure
0,5,237,21.263077015783903,150581,4.334964078433685,349144.69715136493,tier2_vc,Climate,serial_founder,Failure
0,4,236,49.581619555302964,281320,20.690321123317656,237679.45476463827,none,AI,ex_bigtech,Failure
4,23,8,21.931577127092236,593581,20.16664967668542,2648308.8039294523,none,Health,academic,Acquisition
2,23,130,20.230979732946672,265372,3.964447824036549,686507.063341559,angel,AI,ex_bigtech,Acquisition
1,2,116,12.847251898599492,323699,52.808049757971055,1081875.912537415,none,Fintech,serial_founder,Acquisition
1,2,28,5.284303276068224,62860,12.919127001769828,104539.82190248831,none,Crypto,first_time,Failure
3,17,52,15.908692075576388,213117,42.85320955577385,202420.50817942104,angel,Crypto,academic,Acquisition
4,9,64,13.941933743432813,438226,16.21001289067916,1112664.139696748,tier2_vc,AI,first_time,Acquisition
4,1,295,5.960346316696165,187922,10.837212879643179,879841.4734416029,tier1_vc,Climate,ex_bigtech,Failure
3,23,275,32.0222607249861,347658,10.747586887028316,512983.4233538405,tier2_vc,Health,first_time,Failure
2,5,271,12.88298006159865,120208,16.721640808695984,357432.92412351747,tier2_vc,SaaS,serial_founder,Failure
2,18,234,12.100865430404872,291715,107.97954206635075,396048.4062330433,tier1_vc,SaaS,ex_bigtech,Failure
0,15,215,29.904607019913946,262174,4.988620818880306,1020450.5253469645,tier2_vc,Crypto,ex_bigtech,Acquisition
4,2,153,11.533872570905723,618516,2.9218070039536643,1360040.5530269258,none,Fintech,first_time,Acquisition
2,14,257,13.255317084831715,322492,27.208649085446737,803006.3902341533,tier2_vc,Climate,ex_bigtech,Acquisition
5,22,182,39.015960739553904,62905,6.3715602622297505,156768.55615763323,tier2_vc,Crypto,ex_bigtech,Acquisition
2,9,298,8.545245774034516,359162,6.139165649628798,1080039.6982714827,none,SaaS,first_time,Acquisition
0,15,21,15.155298111111561,474928,56.15394625987944,656507.095618172,none,Health,first_time,Failure
3,16,7,3.5538380220432675,322952,3.435192752272267,1129093.2293151638,tier1_vc,SaaS,serial_founder,Failure
5,0,237,34.286354272684925,72998,24.242997875635883,234278.265835393,tier2_vc,Health,ex_bigtech,Failure
1,7,166,70.0941554333644,509839,11.388333342361479,2286508.327492448,angel,Health,first_time,Acquisition
0,18,165,15.926559616103216,64853,15.559162526393845,195071.3731509866,none,SaaS,serial_founder,Failure
8,12,212,102.14526444660238,208153,2.6365364325458143,987845.6054974563,tier1_vc,SaaS,first_time,Acquisition
1,11,45,48.428852641555565,347272,53.97470489336925,1207974.5430232752,tier2_vc,Climate,first_time,Acquisition
2,22,141,8.109503731004297,154101,2.0255476545563718,398028.2862556646,tier2_vc,AI,ex_bigtech,Acquisition
3,22,271,15.716273546443546,333151,20.49479986736423,1074793.1077173653,angel,SaaS,serial_founder,Acquisition
4,12,134,45.02833418836676,237694,30.494519792907656,191122.78310212828,none,Crypto,academic,Failure
3,2,137,17.205927893549603,108865,3.9137330368901937,386475.20188124944,tier2_vc,Climate,first_time,Failure
0,22,122,23.271557911555607,210014,4.642722900507086,752267.9892295145,angel,Climate,first_time,Failure
0,20,228,8.896735571814723,147765,11.532940066739975,699145.1155072536,tier2_vc,Health,ex_bigtech,Failure
3,12,44,29.37890691675376,578647,6.301888037627569,364899.5081881898,tier2_vc,AI,first_time,Acquisition
1,2,174,68.94074864625584,369343,4.034814276379303,430571.67559463053,none,Crypto,academic,Acquisition
2,23,194,14.589522062821803,293585,9.355470605720432,791286.9458273645,tier1_vc,Fintech,ex_bigtech,Acquisition
3,0,140,19.961302495125878,364391,5.428361578716862,298296.6781054144,none,Crypto,serial_founder,Failure
5,16,250,79.28935199149018,255868,12.417536561072543,1043585.9557279841,tier2_vc,SaaS,first_time,Acquisition
2,3,85,18.910079719338903,456623,18.597956445274185,1493715.2512833648,angel,SaaS,serial_founder,Failure
3,17,163,8.882523532956354,344051,24.55800992100755,1707656.2504427088,tier1_vc,Health,first_time,Acquisition
2,22,194,3.991919658033968,221562,1.220614338233556,1089232.1241593112,angel,Crypto,academic,Acquisition
0,15,291,57.107074757061916,86456,9.914514935646775,153214.92956341867,tier2_vc,Climate,academic,Acquisition
0,18,222,86.68647003549087,211558,8.263799302522402,860172.9982534262,tier1_vc,Ecommerce,first_time,Failure
1,8,22,17.50982333166804,271814,4.964188799091061,1027027.9749006227,angel,Crypto,first_time,Failure
1,20,225,13.829293686559216,266906,8.063414966818467,899358.4277104358,tier2_vc,Crypto,ex_bigtech,Failure
3,0,114,14.730745038974474,318150,5.150313429912806,803134.27610798,tier2_vc,Ecommerce,first_time,Acquisition
1,12,120,64.77822825924352,430435,95.58574514382758,1820533.538654587,none,Climate,academic,Failure
0,15,251,38.658042716397425,404729,6.0853111573658065,1342100.5457696633,none,Climate,ex_bigtech,Acquisition
1,13,87,9.26852679200038,470084,14.794951773881467,313332.36102683074,none,AI,first_time,Acquisition
1,18,184,40.7535406354588,505214,21.14779168974934,642992.1519652101,tier2_vc,SaaS,first_time,Failure
0,22,83,67.02420899693885,191085,25.131168328359454,128880.84333038077,angel,Health,first_time,Failure
1,11,264,5.207005817567755,805126,14.08797655087108,3811294.0880815806,none,Crypto,first_time,IPO
2,6,246,42.15795057870275,360626,21.09233561922338,1201133.7067830225,tier2_vc,Health,ex_bigtech,Acquisition
0,15,299,32.865264345412065,46518,5.977850363684841,110831.97224264173,angel,Ecommerce,first_time,Failure
2,6,233,37.339282076704635,162445,9.86761942680381,154771.0961892775,tier2_vc,SaaS,first_time,Failure
2,20,113,21.568727765034943,179298,6.364187073013088,302735.06774810614,none,Crypto,ex_bigtech,Failure
3,17,169,17.101588962666384,364193,11.548883175370271,1492896.174185123,tier2_vc,SaaS,first_time,Acquisition
1,9,250,25.629667853688012,206843,6.860686965050114,103981.53511773469,tier2_vc,AI,academic,Failure
2,1,11,11.958606399998686,187438,4.463364072830489,395501.93247029115,tier1_vc,Crypto,serial_founder,Failure
2,17,209,3.165723769833541,418051,27.940051465545622,1295574.0534715748,tier2_vc,SaaS,first_time,IPO
3,24,256,17.11065580585523,294562,14.947460829419365,1141940.778127117,tier2_vc,Climate,academic,Acquisition
1,2,256,81.49099560724201,79533,33.34738044358718,292943.1449911811,angel,Climate,academic,Failure
2,16,55,57.36646964574212,217576,48.825932222979624,497732.12776422186,angel,Fintech,first_time,Failure
1,14,190,26.81372484464695,203722,4.915082974258141,123032.46064602888,tier2_vc,Health,first_time,Failure
0,23,258,27.554787758741266,666312,6.717595835759884,1870384.4897335833,tier2_vc,Health,serial_founder,Acquisition
1,11,87,4.327836948262091,247327,14.849930631278566,901352.7068042784,tier2_vc,Ecommerce,academic,Failure
1,0,22,28.977109199286215,650173,33.41926327481076,808351.5062289826,none,Crypto,serial_founder,Failure
5,10,159,2.772851900972074,283914,6.364532269787393,882319.2345153834,none,Fintech,academic,Failure
3,4,290,6.138102134642854,804489,8.1031118504185,972684.2678792824,tier2_vc,Crypto,academic,Failure
0,4,235,43.311996095989244,305614,9.623785319189077,1110012.364884978,angel,SaaS,serial_founder,Failure
1,15,72,25.616470803544974,385008,9.067125156568892,304642.22179106367,angel,Climate,academic,Failure
2,4,288,33.388938750124645,154819,3.0908069340835023,226494.21504801893,tier1_vc,SaaS,ex_bigtech,Failure
3,5,169,10.401872074530315,195918,5.096100251918823,458600.4056543866,tier1_vc,Climate,first_time,Failure
1,20,192,32.04683471260907,329631,19.210628292216192,578131.571093002,tier2_vc,Fintech,ex_bigtech,Failure
1,9,18,10.974074349634032,476789,16.033387582961304,1544868.0852000876,angel,Crypto,ex_bigtech,Failure
1,24,212,19.031589992471208,406837,8.1255022375515,1478787.2538046832,tier1_vc,Ecommerce,serial_founder,Acquisition
1,23,247,16.976924082852147,286512,3.6554941845351347,1247388.1977447704,tier1_vc,SaaS,first_time,Failure
3,2,38,10.40632213050437,226319,7.592487581975771,336224.5352841997,angel,Climate,ex_bigtech,Failure
4,11,132,13.876910314051473,238372,16.135217907484254,475505.5010566065,angel,Ecommerce,ex_bigtech,Failure
1,10,241,70.21421448340219,49897,15.627493733091663,28682.60233532365,tier1_vc,Fintech,first_time,Failure
3,22,37,51.39330143128738,65363,12.932894109107941,67447.99413455781,angel,AI,ex_bigtech,Failure
2,24,10,18.547704381755565,394954,12.302290496981177,1494714.1198607567,tier2_vc,SaaS,academic,Failure
2,2,193,37.7574971354394,320073,4.1557898994948275,367618.6065256815,none,AI,academic,Failure
0,4,199,73.94549713442203,333041,14.044241037172004,1018612.6235270825,tier2_vc,AI,academic,Failure
2,3,219,9.77159581826507,126364,7.749813271877835,273947.01191538316,tier2_vc,Health,first_time,Failure
1,15,188,8.672095882462903,108593,27.287742293968613,364990.05071275297,angel,Fintech,ex_bigtech,Failure
1,16,26,14.057942323385143,182052,14.980611171596477,100494.22102377674,none,Crypto,first_time,Failure
1,16,256,14.020636267430028,51851,17.991571134570567,152563.8234230256,tier1_vc,AI,serial_founder,Failure
0,1,52,14.260893511427664,458289,8.992835966052862,1633989.607679479,none,Climate,serial_founder,Failure
3,19,86,25.59946613675443,68885,11.28177361795108,101614.50916813442,tier1_vc,Ecommerce,first_time,Failure
4,16,156,24.176402584372006,69605,17.05375764357471,81766.6394283446,angel,Crypto,first_time,Failure
4,0,161,22.85533683262286,214902,11.87875274242755,844756.492264038,angel,Fintech,serial_founder,Acquisition
2,8,31,79.67833253339735,331767,18.448433902634918,953832.6996543531,angel,Fintech,first_time,Failure
0,2,17,161.6573890696345,6585,15.563556572556921,8232.049111846607,tier2_vc,Fintech,academic,Failure
3,13,30,12.095964452893,124932,1.474190700610687,499502.57567083027,angel,Health,serial_founder,Failure
2,8,196,22.208687121030827,148212,11.33009494480715,206088.32370300582,tier2_vc,Ecommerce,ex_bigtech,Failure
1,8,273,8.100513343429066,419556,12.101531490804444,794650.3607964934,angel,Fintech,first_time,Failure
2,14,5,31.301587237794752,265284,29.218192138016665,143089.7793971884,angel,Health,ex_bigtech,Failure
3,1,119,28.083501892872178,391170,24.896229760420354,817724.1019967078,tier2_vc,Ecommerce,first_time,Acquisition
2,21,287,24.98907343231798,596872,17.03823509436675,1558547.234681472,tier2_vc,Health,ex_bigtech,Acquisition
2,6,295,41.78631235145247,172198,4.348803493473622,112253.15472600296,tier1_vc,Climate,serial_founder,Failure
4,2,163,15.551585567657792,451938,2.558648853206529,1847473.026545235,tier2_vc,Crypto,ex_bigtech,Acquisition
0,14,122,16.463023451869894,348557,24.993775362506184,1129670.8605843503,none,Crypto,serial_founder,Failure
3,20,45,11.933824641683653,244932,21.543296525100477,1118463.0456644127,tier1_vc,SaaS,first_time,Acquisition
5,5,150,86.90791005866805,330161,7.891750032174841,263652.4664501507,none,Crypto,first_time,Acquisition
1,20,155,7.675134016462582,58751,39.795661778974996,111527.70509010606,tier2_vc,AI,serial_founder,Failure
1,2,119,12.180216255733141,628161,10.083789526826413,1092239.3929370516,angel,Health,serial_founder,Acquisition
3,21,265,9.3294956758472,768623,9.725426366397642,865671.7759268056,none,Ecommerce,ex_bigtech,Acquisition
1,4,275,125.43941840869876,581703,12.77201474108029,1786577.9374938773,tier2_vc,SaaS,first_time,Acquisition
